,State,State Code,County,County Code,Deaths,Population,Year
0,Alabama,1,"Autauga County, AL",1001,12,55504,2017
1,Alabama,1,"Baldwin County, AL",1003,39,212628,2017
2,Alabama,1,"Blount County, AL",1009,11,58013,2017
3,Alabama,1,"Calhoun County, AL",1015,29,114728,2017
4,Alabama,1,"Covington County, AL",1039,12,37092,2017
5,Alabama,1,"Cullman County, AL",1043,21,82755,2017
6,Alabama,1,"DeKalb County, AL",1049,20,71617,2017
7,Alabama,1,"Elmore County, AL",1051,14,81677,2017
8,Alabama,1,"Escambia County, AL",1053,12,37447,2017
9,Alabama,1,"Etowah County, AL",1055,15,102755,2017
10,Alabama,1,"Houston County, AL",1069,15,104346,2017
11,Alabama,1,"Jackson County, AL",1071,15,51909,2017
12,Alabama,1,"Jefferson County, AL",1073,109,659197,2017
13,Alabama,1,"Lauderdale County, AL",1077,12,92538,2017
14,Alabama,1,"Lee County, AL",1081,21,161604,2017
15,Alabama,1,"Limestone County, AL",1083,15,94402,2017
16,Alabama,1,"Madison County, AL",1089,57,361046,2017
17,Alabama,1,"Marshall County, AL",1095,17,95548,2017
18,Alabama,1,"Mobile County, AL",1097,64,413955,2017
19,Alabama,1,"Montgomery County, AL",1101,27,226646,2017
20,Alabama,1,"Morgan County, AL",1103,34,118818,2017
21,Alabama,1,"Russell County, AL",1113,11,57045,2017
22,Alabama,1,"St. Clair County, AL",1115,14,88199,2017
23,Alabama,1,"Shelby County, AL",1117,32,213605,2017
24,Alabama,1,"Talladega County, AL",1121,18,80065,2017
25,Alabama,1,"Tuscaloosa County, AL",1125,25,207811,2017
26,Alabama,1,"Walker County, AL",1127,20,64058,2017
27,Alaska,2,"Anchorage Borough, AK",2020,64,294356,2017
28,Alaska,2,"Fairbanks North Star Borough, AK",2090,26,99703,2017
29,Alaska,2,"Juneau Borough, AK",2110,10,32094,2017
30,Alaska,2,"Kenai Peninsula Borough, AK",2122,13,58617,2017
31,Alaska,2,"Matanuska-Susitna Borough, AK",2170,30,106532,2017
