,State,State Code,County,County Code,Deaths,Population,Year
0,Alabama,1,"Autauga County, AL",1001,11,55246,2013
1,Alabama,1,"Baldwin County, AL",1003,37,195540,2013
2,Alabama,1,"Calhoun County, AL",1015,19,116736,2013
3,Alabama,1,"Cullman County, AL",1043,12,80811,2013
4,Alabama,1,"Elmore County, AL",1051,12,80902,2013
5,Alabama,1,"Etowah County, AL",1055,21,103931,2013
6,Alabama,1,"Houston County, AL",1069,15,103668,2013
7,Alabama,1,"Jackson County, AL",1071,14,52951,2013
8,Alabama,1,"Jefferson County, AL",1073,86,659479,2013
9,Alabama,1,"Lauderdale County, AL",1077,14,92797,2013
10,Alabama,1,"Lee County, AL",1081,19,150933,2013
11,Alabama,1,"Limestone County, AL",1083,11,88845,2013
12,Alabama,1,"Madison County, AL",1089,55,346892,2013
13,Alabama,1,"Marshall County, AL",1095,20,94760,2013
14,Alabama,1,"Mobile County, AL",1097,57,414079,2013
15,Alabama,1,"Montgomery County, AL",1101,21,226659,2013
16,Alabama,1,"Morgan County, AL",1103,14,119787,2013
17,Alabama,1,"St. Clair County, AL",1115,18,86308,2013
18,Alabama,1,"Shelby County, AL",1117,28,204180,2013
19,Alabama,1,"Talladega County, AL",1121,11,81096,2013
20,Alabama,1,"Tuscaloosa County, AL",1125,25,200821,2013
21,Alabama,1,"Walker County, AL",1127,10,65998,2013
22,Alaska,2,"Anchorage Borough, AK",2020,60,300950,2013
23,Alaska,2,"Fairbanks North Star Borough, AK",2090,20,100436,2013
24,Alaska,2,"Hoonah-Angoon Census Area, AK",2105,Missing,Missing,2013
25,Alaska,2,"Kenai Peninsula Borough, AK",2122,15,57147,2013
26,Alaska,2,"Matanuska-Susitna Borough, AK",2170,19,95192,2013
27,Alaska,2,"Petersburg Borough/Census Area, AK",2195,Missing,Missing,2013
28,Alaska,2,"Prince of Wales-Hyder Census Area, AK",2198,Missing,Missing,2013
29,Alaska,2,"Skagway Municipality, AK",2230,Missing,Missing,2013
30,Alaska,2,"Wade Hampton Census Area, AK",2270,10,7977,2013
31,Alaska,2,"Wrangell City and Borough, AK",2275,Missing,Missing,2013
32,Arizona,4,"Apache County, AZ",4001,28,71934,2013
33,Arizona,4,"Cochise County, AZ",4003,24,129473,2013
